================================================================================
📊 模型源数据集训练与评估综合报告
生成时间: 2026-01-15 12:59:13
保存路径: Transfer_Learning_ResNet50_20260115_094012\stage1_source_training
设备: cuda (多GPU: True)
总训练轮次: 139/150
总训练时间: 10630.21秒 (约177.17分钟)
最佳验证模型所在轮次: 89
最佳模型对应学习率: 1.00e-08
类别配置: 6类 (Ra0.05, Ra0.1, Ra0.2, Ra0.4, Ra0.8, Ra1.6)
================================================================================

📉 学习率调整记录
----------------------------------------------------------------------
调整轮次       调整前LR           调整后LR           调整原因                          
126      0.0783     97.31           1.00e-08       
127      0.0793     97.11           1.00e-08       
128      0.0744     97.45           1.00e-08       
129      0.0812     97.00           1.00e-08       
130      0.0809     96.98           1.00e-08       
131      0.0799     97.31           1.00e-08       
132      0.0797     97.28           1.00e-08       
133      0.0843     96.86           1.00e-08       
134      0.0816     97.20           1.00e-08       
135      0.0774     97.18           1.00e-08       
136      0.0827     97.14           1.00e-08       
137      0.0821     97.09           1.00e-08       
138      0.0789     97.28           1.00e-08       
139      0.0752     97.36           1.00e-08       

最终训练指标:
  平均损失: 0.2121
  最终准确率: 97.36%
  最终学习率: 1.00e-08

📈 验证集指标汇总
----------------------------------------------------------------------------------------------------
Epoch    Loss       Accuracy(%)     Valid_Acc(%)    MAP(%)     Precision    Recall       F1-Score     Cross-MisRate(%)
----------------------------------------------------------------------------------------------------
1        1.5405     34.16           34.16           45.06      0.4634       0.4375       0.3791       0.00           
2        1.2515     47.99           47.99           59.55      0.5822       0.4348       0.4530       0.00           
3        1.1496     53.26           53.26           63.95      0.6136       0.4554       0.4631       0.00           
4        0.8549     69.15           69.15           79.94      0.7179       0.6727       0.6902       0.00           
5        1.1032     60.45           60.45           65.88      0.7579       0.5161       0.5493       0.00           
6        0.7889     73.08           73.08           85.49      0.7487       0.7777       0.7569       0.00           
7        0.9019     67.98           67.98           77.81      0.7584       0.6633       0.6914       0.00           
8        0.8318     70.48           70.48           81.86      0.7400       0.7593       0.7435       0.00           
9        0.9138     65.05           65.05           81.84      0.7072       0.7224       0.6985       0.00           
10       0.7206     71.45           71.45           84.50      0.7423       0.7575       0.7462       0.00           
11       0.8775     66.05           66.05           78.35      0.7630       0.6009       0.6351       0.00           
12       0.5273     83.95           83.95           93.62      0.8390       0.8682       0.8520       0.00           
13       0.6074     77.34           77.34           90.03      0.7898       0.8301       0.8014       0.00           
14       0.5698     80.48           80.48           91.86      0.8453       0.8372       0.8375       0.00           
15       0.5371     81.23           81.23           92.40      0.8459       0.8198       0.8300       0.00           
16       1.0147     61.54           61.54           71.66      0.6898       0.6011       0.6210       0.00           
17       0.4782     84.82           84.82           94.90      0.8740       0.8811       0.8747       0.00           
18       0.6054     77.09           77.09           89.72      0.8144       0.8061       0.8051       0.00           
19       0.6682     76.88           76.88           87.11      0.8060       0.7340       0.7482       0.00           
20       0.4362     85.37           85.37           95.20      0.8913       0.8756       0.8790       0.00           
21       0.9248     69.15           69.15           77.00      0.7930       0.6283       0.6624       0.00           
22       0.4698     84.78           84.78           94.68      0.8681       0.8733       0.8670       0.00           
23       0.4730     83.78           83.78           94.03      0.8668       0.8545       0.8593       0.00           
24       0.5319     79.68           79.68           92.94      0.8392       0.8489       0.8347       0.00           
25       0.3707     87.75           87.75           96.29      0.8837       0.9046       0.8931       0.00           
26       0.7057     75.84           75.84           85.61      0.8151       0.7199       0.7390       0.00           
27       0.8578     68.06           68.06           81.73      0.7302       0.6400       0.6393       0.00           
28       0.3124     88.63           88.63           97.23      0.9046       0.9087       0.9061       0.00           
29       0.6157     78.14           78.14           88.68      0.8377       0.7150       0.7448       0.00           
30       0.7143     77.22           77.22           84.26      0.8507       0.7160       0.7497       0.00           
31       0.7347     74.25           74.25           82.83      0.7986       0.6736       0.6921       0.00           
32       1.2209     66.56           66.56           73.28      0.7928       0.5727       0.5906       0.00           
33       0.2716     90.76           90.76           98.08      0.9266       0.9143       0.9195       0.00           
34       0.5721     79.97           79.97           88.21      0.8412       0.7255       0.7502       0.00           
35       0.5149     81.69           81.69           92.91      0.8611       0.8075       0.8272       0.00           
36       0.3983     85.91           85.91           95.06      0.8914       0.8695       0.8791       0.00           
37       0.4867     82.65           82.65           92.84      0.8803       0.7877       0.8185       0.00           
38       0.3781     87.79           87.79           94.83      0.9111       0.8563       0.8787       0.00           
39       0.2466     90.80           90.80           98.25      0.9266       0.9204       0.9214       0.00           
40       0.2239     92.18           92.18           98.41      0.9345       0.9324       0.9331       0.00           
41       0.2447     91.10           91.10           98.02      0.9172       0.9294       0.9227       0.00           
42       0.2567     90.84           90.84           97.73      0.9193       0.9290       0.9227       0.00           
43       0.2040     92.18           92.18           98.51      0.9338       0.9258       0.9292       0.00           
44       0.2007     92.56           92.56           98.54      0.9388       0.9367       0.9373       0.00           
45       0.2130     92.52           92.52           98.35      0.9306       0.9383       0.9342       0.00           
46       0.5618     83.90           83.90           91.94      0.8850       0.7822       0.8052       0.00           
47       0.3548     88.67           88.67           95.54      0.9165       0.8597       0.8835       0.00           
48       0.2241     91.72           91.72           98.18      0.9367       0.9310       0.9331       0.00           
49       0.1928     93.44           93.44           98.65      0.9418       0.9509       0.9460       0.00           
50       0.2170     91.89           91.89           98.19      0.9311       0.9339       0.9322       0.00           
51       0.4327     86.54           86.54           94.16      0.9060       0.8266       0.8528       0.00           
52       0.3674     86.91           86.91           96.44      0.9080       0.8489       0.8713       0.00           
53       0.4919     85.45           85.45           93.23      0.9007       0.8177       0.8450       0.00           
54       0.2056     93.10           93.10           98.42      0.9420       0.9429       0.9420       0.00           
55       0.1935     92.98           92.98           98.69      0.9400       0.9344       0.9365       0.00           
56       0.1548     94.44           94.44           99.06      0.9550       0.9484       0.9514       0.00           
57       0.1600     94.31           94.31           98.91      0.9530       0.9442       0.9482       0.00           
58       0.1573     94.77           94.77           98.95      0.9575       0.9515       0.9543       0.00           
59       0.1500     94.52           94.52           99.09      0.9525       0.9468       0.9493       0.00           
60       0.1557     94.77           94.77           99.01      0.9552       0.9534       0.9541       0.00           
61       0.1554     94.31           94.31           99.04      0.9539       0.9483       0.9510       0.00           
62       0.1502     94.57           94.57           99.06      0.9549       0.9512       0.9529       0.00           
63       0.1477     94.94           94.94           99.13      0.9586       0.9541       0.9562       0.00           
64       0.1475     94.77           94.77           99.08      0.9574       0.9517       0.9544       0.00           
65       0.1543     94.82           94.82           99.04      0.9576       0.9510       0.9541       0.00           
66       0.1513     94.69           94.69           99.07      0.9552       0.9511       0.9530       0.00           
67       0.1477     94.77           94.77           99.07      0.9553       0.9518       0.9534       0.00           
68       0.1464     94.86           94.86           99.08      0.9580       0.9523       0.9550       0.00           
69       0.1525     94.82           94.82           99.08      0.9577       0.9522       0.9547       0.00           
70       0.1503     94.90           94.90           99.09      0.9583       0.9527       0.9553       0.00           
71       0.1532     94.82           94.82           99.05      0.9577       0.9530       0.9552       0.00           
72       0.1471     94.90           94.90           99.09      0.9583       0.9526       0.9553       0.00           
73       0.1555     94.69           94.69           99.08      0.9552       0.9503       0.9525       0.00           
74       0.1525     94.69           94.69           99.08      0.9568       0.9514       0.9538       0.00           
75       0.1509     94.94           94.94           99.10      0.9586       0.9541       0.9562       0.00           
76       0.1497     94.65           94.65           99.09      0.9564       0.9508       0.9535       0.00           
